aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
miroc-esm-chem_rcp85,10,1.2058560969308019e-05,4.129512035433436e-06,7.92822174844332e-06,255.00558471679688,8.276718754807177e-10
miroc-esm-chem_rcp85,11,4.269872533768648e-06,8.219843152801332e-07,3.314662080811104e-06,238.60519409179688,1.3322618030997546e-07
miroc-esm-chem_rcp85,12,1.8134562196792103e-05,4.5485658120014705e-06,1.3581402527051978e-05,260.7878112792969,4.5940562465318635e-09
miroc-esm-chem_rcp85,13,1.997436447709333e-05,7.948953680170234e-06,1.2015600077575073e-05,264.53839111328125,9.810432466395014e-09
miroc-esm-chem_rcp85,14,1.4295174878498074e-05,2.9041812013019808e-06,1.1370071661076508e-05,252.28561401367188,2.0922085397501178e-08
miroc-esm-chem_rcp85,15,1.4610109246859793e-05,4.417559011926642e-06,1.0169424967898522e-05,262.18414306640625,2.3125522830014233e-08
miroc-esm-chem_rcp85,16,1.5126846847124398e-05,1.5175631915553822e-06,1.3249537005322054e-05,256.91033935546875,3.5974676393379923e-07
miroc-esm-chem_rcp85,17,2.2416272258851677e-05,5.223508196650073e-06,1.7054804629879072e-05,269.71356201171875,1.3795889231005276e-07
miroc-esm-chem_rcp85,18,1.731834709062241e-05,3.1413801480084658e-06,1.3580811355495825e-05,259.19122314453125,5.961567808299151e-07
miroc-esm-chem_rcp26,1,1.875649468274787e-05,7.4899076025758404e-06,1.1239818377362099e-05,268.41717529296875,2.676977040039219e-08
miroc-esm-chem_rcp26,2,9.066856364370324e-06,2.2234810330701293e-06,6.638529612246202e-06,252.83396911621094,2.048449943004016e-07
miroc-esm-chem_rcp26,3,2.1800617105327547e-05,9.510810741630848e-06,1.2268306818441488e-05,270.28448486328125,2.149943334472937e-08
miroc-esm-chem_rcp26,4,1.3696940186491702e-05,8.094912118394859e-07,1.2755731404467952e-05,248.7269287109375,1.317176270276832e-07
miroc-esm-chem_rcp26,5,9.278676770918537e-06,1.04983178061957e-06,8.167688974936027e-06,246.96739196777344,6.11554114016144e-08
miroc-esm-chem_rcp26,6,3.633344022091478e-06,8.538651741218928e-07,2.7797593702416634e-06,233.52381896972656,-2.8041535760081615e-10
miroc-esm-chem_rcp26,7,2.115818097081501e-05,6.052573098713765e-06,1.5105606507859193e-05,260.43670654296875,0.0
miroc-esm-chem_rcp26,8,1.8287155398866162e-05,5.458053692564135e-06,1.2829101251554675e-05,255.7886199951172,0.0
miroc-esm-chem_rcp26,9,6.788216978748096e-06,1.3192496908231988e-06,5.456088274513604e-06,239.28756713867188,1.2878820676576197e-08
miroc-esm-chem_rcp26,10,1.1900436220457777e-05,4.284591796022141e-06,7.613634352310328e-06,255.156982421875,2.2090214102377104e-09
miroc-esm-chem_rcp26,11,4.395055384520674e-06,7.99164865838975e-07,3.4634538224054268e-06,238.674560546875,1.324364973243064e-07
miroc-esm-chem_rcp26,12,1.8182163330493495e-05,4.535950210993178e-06,1.3641689292853698e-05,260.8053894042969,4.522156427100299e-09
miroc-esm-chem_rcp26,13,2.0441890228539705e-05,8.020787390705664e-06,1.2410822819219902e-05,264.652099609375,1.0280244211458012e-08
miroc-esm-chem_rcp26,14,1.426379822078161e-05,2.8340707558527356e-06,1.140309905167669e-05,252.1536407470703,2.662760145710763e-08
miroc-esm-chem_rcp26,15,1.4800884855503682e-05,4.490977971727261e-06,1.0284952622896526e-05,262.2697448730469,2.4953861199605853e-08
miroc-esm-chem_rcp26,16,1.5405994417960756e-05,1.469868379899708e-06,1.3481889254762791e-05,257.14776611328125,4.5423610117723e-07
miroc-esm-chem_rcp26,17,2.2241296392166987e-05,5.206297373661073e-06,1.6891255654627457e-05,269.73846435546875,1.4374158752161748e-07
miroc-esm-chem_rcp26,18,1.7577194739715196e-05,3.0729834179510362e-06,1.3843371561961249e-05,259.2831726074219,6.608400440200057e-07
ccsm4_rcp85,1,2.4938457499956712e-05,7.959743015817367e-06,1.688757947704289e-05,265.41888427734375,9.113320942333303e-08
ccsm4_rcp85,2,7.3673322731337976e-06,1.4000428336657933e-06,5.80084133616765e-06,247.47064208984375,1.6644816014377284e-07
ccsm4_rcp85,3,2.6940197130898014e-05,9.874892384686973e-06,1.703692578303162e-05,266.6310729980469,2.8379604444239703e-08
ccsm4_rcp85,4,1.6074944142019376e-05,6.093837328080554e-07,1.5023375453893095e-05,246.25404357910156,4.4218543848728586e-07
