sectors,year,temperature,regions,aogcm
2.0,2028,-0.7898351,1.0,miroc-esm-chem_rcp8.5
2.0,2029,-0.83435017,1.0,miroc-esm-chem_rcp8.5
2.0,2030,-0.82322603,1.0,miroc-esm-chem_rcp8.5
2.0,2031,-0.85400665,1.0,miroc-esm-chem_rcp8.5
2.0,2032,-0.8593108,1.0,miroc-esm-chem_rcp8.5
2.0,2033,-0.9159744,1.0,miroc-esm-chem_rcp8.5
2.0,2034,-0.97437507,1.0,miroc-esm-chem_rcp8.5
2.0,2035,-0.8864687,1.0,miroc-esm-chem_rcp8.5
2.0,2036,-0.8718545,1.0,miroc-esm-chem_rcp8.5
2.0,2037,-0.8784929,1.0,miroc-esm-chem_rcp8.5
2.0,2038,-0.86025,1.0,miroc-esm-chem_rcp8.5
2.0,2039,-0.9136452,1.0,miroc-esm-chem_rcp8.5
2.0,2040,-0.91285837,1.0,miroc-esm-chem_rcp8.5
2.0,2041,-0.91017026,1.0,miroc-esm-chem_rcp8.5
2.0,2042,-0.8592035,1.0,miroc-esm-chem_rcp8.5
2.0,2043,-0.8317202,1.0,miroc-esm-chem_rcp8.5
2.0,2044,-0.79806185,1.0,miroc-esm-chem_rcp8.5
2.0,2045,-0.8034839,1.0,miroc-esm-chem_rcp8.5
2.0,2046,-0.7563907,1.0,miroc-esm-chem_rcp8.5
2.0,2047,-0.7431818,1.0,miroc-esm-chem_rcp8.5
2.0,2048,-0.73397875,1.0,miroc-esm-chem_rcp8.5
2.0,2049,-0.6898993,1.0,miroc-esm-chem_rcp8.5
2.0,2050,-0.6840839,1.0,miroc-esm-chem_rcp8.5
2.0,2051,-0.67866987,1.0,miroc-esm-chem_rcp8.5
2.0,2052,-0.70042306,1.0,miroc-esm-chem_rcp8.5
2.0,2053,-0.72023827,1.0,miroc-esm-chem_rcp8.5
2.0,2054,-0.70767975,1.0,miroc-esm-chem_rcp8.5
2.0,2055,-0.66976005,1.0,miroc-esm-chem_rcp8.5
2.0,2056,-0.6558404,1.0,miroc-esm-chem_rcp8.5
