sectors,year,mask,regions,aogcm
4.0,2090,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2091,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2092,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2093,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2094,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2095,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2096,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2097,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2098,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2099,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2100,0.0,1.0,miroc-esm-chem_rcp8.5
5.0,1995,0.0,1.0,miroc-esm-chem_rcp8.5
5.0,1996,0.0,1.0,miroc-esm-chem_rcp8.5
5.0,1997,0.0,1.0,miroc-esm-chem_rcp8.5
5.0,1998,0.0,1.0,miroc-esm-chem_rcp8.5
5.0,1999,0.0,1.0,miroc-esm-chem_rcp8.5
