sectors,year,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,regions,aogcm
1.0,2053.0,-1.6626353e-07,-3.623458e-07,-1.3458608e-10,1.9621685e-07,0.39238924,1.0,noresm1-m_rcp8.5
1.0,2054.0,2.6680323e-06,-6.440341e-07,4.390207e-12,3.3120618e-06,1.0913572,1.0,noresm1-m_rcp8.5
1.0,2055.0,1.0640747e-06,-1.10085956e-07,-1.1089821e-11,1.1741716e-06,-0.21153872,1.0,noresm1-m_rcp8.5
1.0,2056.0,5.8526206e-07,-1.0241079e-06,-2.2333059e-10,1.6095933e-06,-0.091713555,1.0,noresm1-m_rcp8.5
1.0,2057.0,2.4368892e-06,3.7646604e-08,-9.564342e-11,2.3993382e-06,1.2488099,1.0,noresm1-m_rcp8.5
1.0,2058.0,1.0248385e-06,-1.666726e-07,-8.501341e-11,1.1915961e-06,-0.41632634,1.0,noresm1-m_rcp8.5
1.0,2059.0,2.0889931e-06,-2.934139e-07,-1.2024867e-10,2.3825273e-06,0.6474362,1.0,noresm1-m_rcp8.5
1.0,2060.0,1.2871803e-06,2.757699e-07,-7.399651e-11,1.0114844e-06,1.3409114,1.0,noresm1-m_rcp8.5
1.0,2061.0,2.4764838e-06,1.4011218e-07,-1.2592001e-10,2.3364976e-06,0.80886847,1.0,noresm1-m_rcp8.5
1.0,2062.0,1.9934375e-06,-1.5953997e-08,1.9387963e-11,2.0093723e-06,1.0935374,1.0,noresm1-m_rcp8.5
1.0,2063.0,7.034909e-07,-7.2894403e-07,-1.22143545e-11,1.4324472e-06,0.22320656,1.0,noresm1-m_rcp8.5
1.0,2064.0,2.6295143e-06,-3.9717364e-07,-2.8357838e-10,3.0269716e-06,1.2620293,1.0,noresm1-m_rcp8.5
1.0,2065.0,1.5799917e-06,3.9250224e-07,2.3234457e-10,1.1872571e-06,0.2407027,1.0,noresm1-m_rcp8.5
1.0,2066.0,1.7777669e-06,-2.3204375e-07,-1.7245091e-10,2.009983e-06,0.9371941,1.0,noresm1-m_rcp8.5
1.0,2067.0,2.2218514e-06,-5.165241e-07,8.017509e-11,2.7382953e-06,1.2777456,1.0,noresm1-m_rcp8.5
1.0,2068.0,3.5849595e-07,-1.3607838e-07,1.0313321e-11,4.94564e-07,-0.060804557,1.0,noresm1-m_rcp8.5
1.0,2069.0,1.2816482e-06,-6.322249e-08,-6.521189e-11,1.344936e-06,0.92987645,1.0,noresm1-m_rcp8.5
1.0,2070.0,8.0771434e-07,5.2553946e-07,-7.971434e-10,2.8297205e-07,0.9526025,1.0,noresm1-m_rcp8.5
1.0,2071.0,3.941705e-06,-3.9209945e-07,-8.1445815e-11,4.3338855e-06,1.1921561,1.0,noresm1-m_rcp8.5
1.0,2072.0,3.2656378e-06,-3.803925e-07,2.3575367e-10,3.6457945e-06,0.29151708,1.0,noresm1-m_rcp8.5
1.0,2073.0,2.8645923e-06,-2.4797103e-07,-6.929898e-11,3.1126326e-06,0.5273366,1.0,noresm1-m_rcp8.5
1.0,2074.0,3.5854375e-06,-3.7148064e-07,7.510152e-11,3.956843e-06,1.6149755,1.0,noresm1-m_rcp8.5
1.0,2075.0,5.5433867e-07,-7.1265697e-07,-8.3339266e-11,1.267079e-06,0.9600011,1.0,noresm1-m_rcp8.5
1.0,2076.0,9.175651e-07,-1.2107242e-06,-2.4529672e-11,2.128314e-06,-0.7845229,1.0,noresm1-m_rcp8.5
1.0,2077.0,9.981676e-07,-1.211795e-06,1.5663346e-10,2.209806e-06,0.16502431,1.0,noresm1-m_rcp8.5
1.0,2078.0,-2.0729244e-07,-1.3595471e-06,2.067677e-10,1.152048e-06,-0.8557551,1.0,noresm1-m_rcp8.5
1.0,2079.0,1.8868873e-06,-1.2135778e-06,-9.89852e-12,3.100475e-06,-0.9956909,1.0,noresm1-m_rcp8.5
1.0,2080.0,2.0712532e-06,-2.4637413e-07,-2.1474222e-11,2.317649e-06,1.2488388,1.0,noresm1-m_rcp8.5
1.0,2081.0,2.8944623e-06,-5.7652824e-07,-3.276184e-11,3.4710235e-06,1.0574722,1.0,noresm1-m_rcp8.5
1.0,2082.0,1.6885565e-06,1.8612657e-07,3.493219e-11,1.502395e-06,0.62777627,1.0,noresm1-m_rcp8.5
1.0,2083.0,4.332461e-06,-9.650579e-07,1.2225193e-10,5.2973965e-06,3.075474,1.0,noresm1-m_rcp8.5
1.0,2084.0,2.4324002e-06,9.0959895e-07,1.6017682e-10,1.522641e-06,1.5643156,1.0,noresm1-m_rcp8.5
1.0,2085.0,2.1681437e-06,-1.8753758e-07,-6.951397e-11,2.3557507e-06,1.1820635,1.0,noresm1-m_rcp8.5
1.0,2086.0,2.8563186e-06,-5.167634e-07,-2.189837e-11,3.373104e-06,1.2165308,1.0,noresm1-m_rcp8.5
1.0,2087.0,2.958022e-06,-6.7079037e-07,6.062211e-11,3.6287515e-06,0.9118813,1.0,noresm1-m_rcp8.5
1.0,2088.0,2.619761e-06,-4.0004534e-07,6.565141e-11,3.0197407e-06,1.8938006,1.0,noresm1-m_rcp8.5
1.0,2089.0,1.6043534e-06,-2.3566847e-07,1.44408305e-11,1.8400074e-06,0.79039925,1.0,noresm1-m_rcp8.5
1.0,2090.0,3.216359e-06,-1.0416198e-06,1.3553242e-10,4.257843e-06,1.1411086,1.0,noresm1-m_rcp8.5
1.0,2091.0,3.8717035e-06,-5.7331505e-07,-4.7953082e-11,4.4450667e-06,1.0432819,1.0,noresm1-m_rcp8.5
1.0,2092.0,1.1177985e-06,-1.4992876e-08,-3.2392592e-11,1.1328237e-06,1.0471902,1.0,noresm1-m_rcp8.5
